AreaCode,AreaName,Date,CumulatedCase,CumulatedDeath,CumulatedFirstVaccin
E12000001,North East,29/4/2022,938049,9081,2092278
E12000002,North West,29/4/2022,2555709,26056,5634215
E12000003,Yorkshire and The Humber,29/4/2022,1798099,16969,4215096
E12000004,East Midlands,29/4/2022,1579875,15102,3780911
E12000005,West Midlands,29/4/2022,1900772,19715,4464269
E12000006,East of England,29/4/2022,2022591,18811,4916806
E12000007,London,29/4/2022,2869332,23377,6480214
E12000008,South East,29/4/2022,2991244,25677,7352872
E12000009,South West,29/4/2022,1736011,11513,4622767
K02000001,United Kingdom,29/4/2022,32853.2,195915,53202723
E12000001,North East,28/4/2022,937492,9078,2092278
E12000002,North West,28/4/2022,2554433,26049,5634215
E12000003,Yorkshire and The Humber,28/4/2022,1797134,16969,4215096
E12000004,East Midlands,28/4/2022,1579083,15102,3780911
E12000005,West Midlands,28/4/2022,1899918,19712,4464269
E12000006,East of England,28/4/2022,2021416,18809,4916806
E12000007,London,28/4/2022,2868054,23376,6480214
E12000008,South East,28/4/2022,2989703,25675,7352872
E12000009,South West,28/4/2022,1734978,11512,4622767
K02000001,United Kingdom,28/4/2022,32834.7,195893,53191232
E12000001,North East,27/4/2022,936908,9070,2092274
E12000002,North West,27/4/2022,2553050,26041,5634057
E12000003,Yorkshire and The Humber,27/4/2022,1796098,16963,4215025
E12000004,East Midlands,27/4/2022,1578147,15101,3780905
E12000005,West Midlands,27/4/2022,1898872,19708,4464057
E12000006,East of England,27/4/2022,2020156,18805,4916629
E12000007,London,27/4/2022,2866570,23372,6480047
E12000008,South East,27/4/2022,2987857,25672,7352800
E12000009,South West,27/4/2022,1733848,11510,4622671
K02000001,United Kingdom,27/4/2022,32813.8,195846,53180153
E12000001,North East,26/4/2022,,9063,2092225
E12000002,North West,26/4/2022,,26027,5633814
E12000003,Yorkshire and The Humber,26/4/2022,,16957,4214906
E12000004,East Midlands,26/4/2022,,15100,3780873
E12000005,West Midlands,26/4/2022,,19699,4463963
E12000006,East of England,26/4/2022,,18796,4916673
E12000007,London,26/4/2022,,23364,6480213
E12000008,South East,26/4/2022,,25668,7352641
E12000009,South West,26/4/2022,,11503,4622628
K02000001,United Kingdom,26/4/2022,32788.3,195775,53170544
E12000001,North East,25/4/2022,935329,9056,2092243
E12000002,North West,25/4/2022,2549777,26016,5633701
E12000003,Yorkshire and The Humber,25/4/2022,1792414,16951,4214863
E12000004,East Midlands,25/4/2022,1576255,15096,3780703
E12000005,West Midlands,25/4/2022,1896388,19690,4464048
E12000006,East of England,25/4/2022,2017199,18793,4916606
E12000007,London,25/4/2022,2863539,23360,6479747
E12000008,South East,25/4/2022,2983525,25660,7352413
E12000009,South West,25/4/2022,1731020,11499,4622743
K02000001,United Kingdom,25/4/2022,32763.6,195703,53161003
E12000001,North East,24/4/2022,,9051,2092157
E12000002,North West,24/4/2022,,26005,5633243
E12000003,Yorkshire and The Humber,24/4/2022,,16940,4214606
E12000004,East Midlands,24/4/2022,,15092,3780532
E12000005,West Midlands,24/4/2022,,19681,4463731
E12000006,East of England,24/4/2022,,18785,4916332
E12000007,London,24/4/2022,,23351,6479161
E12000008,South East,24/4/2022,,25649,7351988
E12000009,South West,24/4/2022,,11493,4622578
K02000001,United Kingdom,24/4/2022,32696.5,195613,53152044
E12000001,North East,23/4/2022,,9050,2091904
E12000002,North West,23/4/2022,,25993,5632516
E12000003,Yorkshire and The Humber,23/4/2022,,16928,4214095
E12000004,East Midlands,23/4/2022,,15084,3780163
E12000005,West Midlands,23/4/2022,,19667,4463245
E12000006,East of England,23/4/2022,,18776,4915528
E12000007,London,23/4/2022,,23346,6477675
E12000008,South East,23/4/2022,,25640,7350905
E12000009,South West,23/4/2022,,11490,4622048
K02000001,United Kingdom,23/4/2022,32696.5,195521,53136420
E12000001,North East,22/4/2022,933139,9046,2091904
E12000002,North West,22/4/2022,2545225,25978,5632516
E12000003,Yorkshire and The Humber,22/4/2022,1788828,16921,4214095
E12000004,East Midlands,22/4/2022,1573273,15076,3780163
E12000005,West Midlands,22/4/2022,1892830,19661,4463245
E12000006,East of England,22/4/2022,2013163,18767,4915528
E12000007,London,22/4/2022,2859304,23340,6477675
E12000008,South East,22/4/2022,2977635,25625,7350905
E12000009,South West,22/4/2022,1726861,11479,4622048
K02000001,United Kingdom,22/4/2022,32696.5,195418,53104502
E12000001,North East,21/4/2022,932283,9042,2091904
E12000002,North West,21/4/2022,2543227,25964,5632516
E12000003,Yorkshire and The Humber,21/4/2022,1787281,16915,4214095
E12000004,East Midlands,21/4/2022,1571989,15070,3780163
E12000005,West Midlands,21/4/2022,1891280,19646,4463245
E12000006,East of England,21/4/2022,2011158,18752,4915528
E12000007,London,21/4/2022,2857356,23332,6477675
E12000008,South East,21/4/2022,2975044,25611,7350905
E12000009,South West,21/4/2022,1725138,11471,4622048
K02000001,United Kingdom,21/4/2022,32667.1,195306,53088681
E12000001,North East,20/4/2022,931238,9035,2091734
E12000002,North West,20/4/2022,2540881,25955,5632335
E12000003,Yorkshire and The Humber,20/4/2022,1785532,16901,4213931
E12000004,East Midlands,20/4/2022,1570462,15061,3780037
E12000005,West Midlands,20/4/2022,1889506,19632,4462996
E12000006,East of England,20/4/2022,2008852,18740,4915338
E12000007,London,20/4/2022,2855147,23320,6477545
E12000008,South East,20/4/2022,2971931,25595,7350604
E12000009,South West,20/4/2022,1723060,11454,4621884
K02000001,United Kingdom,20/4/2022,32632.1,195170,53071451
E12000001,North East,19/4/2022,930082,9030,2091801
E12000002,North West,19/4/2022,2538119,25936,5632214
E12000003,Yorkshire and The Humber,19/4/2022,1783447,16891,4213870
E12000004,East Midlands,19/4/2022,1568722,15053,3780194
E12000005,West Midlands,19/4/2022,1887522,19621,4463033
E12000006,East of England,19/4/2022,2006354,18723,4915304
E12000007,London,19/4/2022,2852693,23312,6477234
E12000008,South East,19/4/2022,2968504,25576,7350711
E12000009,South West,19/4/2022,1720803,11438,4622182
K02000001,United Kingdom,19/4/2022,32593.2,195034,53057035
E12000001,North East,18/4/2022,,9027,2091666
E12000002,North West,18/4/2022,,25917,5631683
E12000003,Yorkshire and The Humber,18/4/2022,,16877,4213541
E12000004,East Midlands,18/4/2022,,15040,3779881
E12000005,West Midlands,18/4/2022,,19614,4462547
E12000006,East of England,18/4/2022,,18709,4915006
E12000007,London,18/4/2022,,23300,6476335
E12000008,South East,18/4/2022,,25563,7350100
E12000009,South West,18/4/2022,,11427,4621742
